Назва отримувача,Біплан ІД,ОКПО,Загальний формат:,ТОКЕН ШО
"Водопостачання та каналізація, КП м.Південне",3856164,31783053,"https://next.privat24.ua/payments/form/{""token"":""eb6ea420aafcfed30f1e8004bad725238xp65yel""}",eb6ea420aafcfed30f1e8004bad725238xp65yel
"КП тм ЮТКЕ, м.Південне",3857492,26134519,"https://next.privat24.ua/payments/form/{""token"":""0ab8c0c0ed1d854b49f465c12deb6dfbh4oipwm3""}",0ab8c0c0ed1d854b49f465c12deb6dfbh4oipwm3
КП Спецтранс,3857464,30750184,"https://next.privat24.ua/payments/form/{""token"":""5b0dcc38ed7a4fb13823b5176d7f1428h4oipwm3""}",5b0dcc38ed7a4fb13823b5176d7f1428h4oipwm3
КК ДОБРОБУТ-СЕРВІС ТОВ,3855381,40954168,"https://next.privat24.ua/payments/form/{""token"":""fcc58437616b11a5e6c89412d2985bdde7q9emgv""}",fcc58437616b11a5e6c89412d2985bdde7q9emgv
ОСББ Мирний 26,3849951,40970860,"https://next.privat24.ua/payments/form/{""token"":""a518fd69274d874dfa505ea49343a9f7e7q9emgv""}",a518fd69274d874dfa505ea49343a9f7e7q9emgv
"Миру 13, ОСББ",3857062,43258948,"https://next.privat24.ua/payments/form/{""token"":""d630408099f83ecef2d2805f68e28febe7q9emgv""}",d630408099f83ecef2d2805f68e28febe7q9emgv
"Десанту 23, ОСББ",3857415,43328350,"https://next.privat24.ua/payments/form/{""token"":""8ffd51bfc95eb69558964c8e44fd4e0de7q9emgv""}",8ffd51bfc95eb69558964c8e44fd4e0de7q9emgv
"Десанту 20, ОСББ",3856689,41130740,"https://next.privat24.ua/payments/form/{""token"":""1f2a32c20556298acf3ed8dea98985e7e7q9emgv""}",1f2a32c20556298acf3ed8dea98985e7e7q9emgv
"ПРИМОРСЬКА 21, ОСББ",3857395,41038177,"https://next.privat24.ua/payments/form/{""token"":""1ff93efd9dd859cdae8155da1ea1ca90e7q9emgv""}",1ff93efd9dd859cdae8155da1ea1ca90e7q9emgv
"Т.Г.ШЕВЧЕНКО 7, ОСББ",3857372,40631936,"https://next.privat24.ua/payments/form/{""token"":""9349811ef4f3f4c00b4dae00d805a773e7q9emgv""}",9349811ef4f3f4c00b4dae00d805a773e7q9emgv
"ХІМІКІВ 6, ОСББ",3857448,41142274,"https://next.privat24.ua/payments/form/{""token"":""74367a7396a2659d0939f666497af2c3e7q9emgv""}",74367a7396a2659d0939f666497af2c3e7q9emgv
